date,series_id,value
1947-01-01,A939RX0Q048SBEA,14203
1947-04-01,A939RX0Q048SBEA,14101
1947-07-01,A939RX0Q048SBEA,14008
1947-10-01,A939RX0Q048SBEA,14161
1948-01-01,A939RX0Q048SBEA,14316
1948-04-01,A939RX0Q048SBEA,14495
1948-07-01,A939RX0Q048SBEA,14515
1948-10-01,A939RX0Q048SBEA,14464
1949-01-01,A939RX0Q048SBEA,14202
1949-04-01,A939RX0Q048SBEA,14098
1949-07-01,A939RX0Q048SBEA,14182
1949-10-01,A939RX0Q048SBEA,13999
1950-01-01,A939RX0Q048SBEA,14490
1950-04-01,A939RX0Q048SBEA,14879
1950-07-01,A939RX0Q048SBEA,15388
1950-10-01,A939RX0Q048SBEA,15612
1951-01-01,A939RX0Q048SBEA,15759
1951-04-01,A939RX0Q048SBEA,15968
1951-07-01,A939RX0Q048SBEA,16223
1951-10-01,A939RX0Q048SBEA,16181
1952-01-01,A939RX0Q048SBEA,16288
1952-04-01,A939RX0Q048SBEA,16259
1952-07-01,A939RX0Q048SBEA,16306
1952-10-01,A939RX0Q048SBEA,16765
1953-01-01,A939RX0Q048SBEA,17013
1953-04-01,A939RX0Q048SBEA,17082
1953-07-01,A939RX0Q048SBEA,16908
1953-10-01,A939RX0Q048SBEA,16574
1954-01-01,A939RX0Q048SBEA,16425
1954-04-01,A939RX0Q048SBEA,16376
1954-07-01,A939RX0Q048SBEA,16485
1954-10-01,A939RX0Q048SBEA,16726
1955-01-01,A939RX0Q048SBEA,17132
1955-04-01,A939RX0Q048SBEA,17341
1955-07-01,A939RX0Q048SBEA,17496
1955-10-01,A939RX0Q048SBEA,17516
1956-01-01,A939RX0Q048SBEA,17376
1956-04-01,A939RX0Q048SBEA,17449
1956-07-01,A939RX0Q048SBEA,17352
1956-10-01,A939RX0Q048SBEA,17550
1957-01-01,A939RX0Q048SBEA,17583
1957-04-01,A939RX0Q048SBEA,17473
1957-07-01,A939RX0Q048SBEA,17566
1957-10-01,A939RX0Q048SBEA,17305
1958-01-01,A939RX0Q048SBEA,16793
1958-04-01,A939RX0Q048SBEA,16839
1958-07-01,A939RX0Q048SBEA,17154
1958-10-01,A939RX0Q048SBEA,17475
1959-01-01,A939RX0Q048SBEA,17734
1959-04-01,A939RX0Q048SBEA,18064
1959-07-01,A939RX0Q048SBEA,18000
1959-10-01,A939RX0Q048SBEA,17972
1960-01-01,A939RX0Q048SBEA,18268
1960-04-01,A939RX0Q048SBEA,18060
1960-07-01,A939RX0Q048SBEA,18059
1960-10-01,A939RX0Q048SBEA,17756
1961-01-01,A939RX0Q048SBEA,17816
1961-04-01,A939RX0Q048SBEA,18049
1961-07-01,A939RX0Q048SBEA,18319
1961-10-01,A939RX0Q048SBEA,18598
1962-01-01,A939RX0Q048SBEA,18863
1962-04-01,A939RX0Q048SBEA,18967
1962-07-01,A939RX0Q048SBEA,19126
1962-10-01,A939RX0Q048SBEA,19111
1963-01-01,A939RX0Q048SBEA,19257
1963-04-01,A939RX0Q048SBEA,19410
1963-07-01,A939RX0Q048SBEA,19761
1963-10-01,A939RX0Q048SBEA,19814
1964-01-01,A939RX0Q048SBEA,20169
1964-04-01,A939RX0Q048SBEA,20324
1964-07-01,A939RX0Q048SBEA,20567
1964-10-01,A939RX0Q048SBEA,20558
1965-01-01,A939RX0Q048SBEA,20997
1965-04-01,A939RX0Q048SBEA,21205
1965-07-01,A939RX0Q048SBEA,21604
1965-10-01,A939RX0Q048SBEA,22030
1966-01-01,A939RX0Q048SBEA,22510
1966-04-01,A939RX0Q048SBEA,22528
1966-07-01,A939RX0Q048SBEA,22650
1966-10-01,A939RX0Q048SBEA,22766
1967-01-01,A939RX0Q048SBEA,22911
1967-04-01,A939RX0Q048SBEA,22869
1967-07-01,A939RX0Q048SBEA,23020
1967-10-01,A939RX0Q048SBEA,23129
1968-01-01,A939RX0Q048SBEA,23551
1968-04-01,A939RX0Q048SBEA,23889
1968-07-01,A939RX0Q048SBEA,24009
1968-10-01,A939RX0Q048SBEA,24039
1969-01-01,A939RX0Q048SBEA,24365
1969-04-01,A939RX0Q048SBEA,24383
1969-07-01,A939RX0Q048SBEA,24475
1969-10-01,A939RX0Q048SBEA,24284
1970-01-01,A939RX0Q048SBEA,24189
1970-04-01,A939RX0Q048SBEA,24148
1970-07-01,A939RX0Q048SBEA,24288
1970-10-01,A939RX0Q048SBEA,23945
1971-01-01,A939RX0Q048SBEA,24520
1971-04-01,A939RX0Q048SBEA,24581
1971-07-01,A939RX0Q048SBEA,24707
1971-10-01,A939RX0Q048SBEA,24689
1972-01-01,A939RX0Q048SBEA,25083
1972-04-01,A939RX0Q048SBEA,25592
1972-07-01,A939RX0Q048SBEA,25767
1972-10-01,A939RX0Q048SBEA,26129
1973-01-01,A939RX0Q048SBEA,26718
1973-04-01,A939RX0Q048SBEA,26949
1973-07-01,A939RX0Q048SBEA,26741
1973-10-01,A939RX0Q048SBEA,26929
1974-01-01,A939RX0Q048SBEA,26643
1974-04-01,A939RX0Q048SBEA,26649
1974-07-01,A939RX0Q048SBEA,26330
1974-10-01,A939RX0Q048SBEA,26160
1975-01-01,A939RX0Q048SBEA,25789
1975-04-01,A939RX0Q048SBEA,25911
1975-07-01,A939RX0Q048SBEA,26277
1975-10-01,A939RX0Q048SBEA,26562
1976-01-01,A939RX0Q048SBEA,27101
1976-04-01,A939RX0Q048SBEA,27242
1976-07-01,A939RX0Q048SBEA,27321
1976-10-01,A939RX0Q048SBEA,27446
1977-01-01,A939RX0Q048SBEA,27706
1977-04-01,A939RX0Q048SBEA,28177
1977-07-01,A939RX0Q048SBEA,28605
1977-10-01,A939RX0Q048SBEA,28525
1978-01-01,A939RX0Q048SBEA,28549
1978-04-01,A939RX0Q048SBEA,29577
1978-07-01,A939RX0Q048SBEA,29787
1978-10-01,A939RX0Q048SBEA,30100
1979-01-01,A939RX0Q048SBEA,30077
1979-04-01,A939RX0Q048SBEA,30031
1979-07-01,A939RX0Q048SBEA,30163
1979-10-01,A939RX0Q048SBEA,30145
1980-01-01,A939RX0Q048SBEA,30154
1980-04-01,A939RX0Q048SBEA,29451
1980-07-01,A939RX0Q048SBEA,29328
1980-10-01,A939RX0Q048SBEA,29794
1981-01-01,A939RX0Q048SBEA,30316
1981-04-01,A939RX0Q048SBEA,30023
1981-07-01,A939RX0Q048SBEA,30300
1981-10-01,A939RX0Q048SBEA,29892
1982-01-01,A939RX0Q048SBEA,29365
1982-04-01,A939RX0Q048SBEA,29434
1982-07-01,A939RX0Q048SBEA,29247
1982-10-01,A939RX0Q048SBEA,29186
1983-01-01,A939RX0Q048SBEA,29511
1983-04-01,A939RX0Q048SBEA,30120
1983-07-01,A939RX0Q048SBEA,30647
1983-10-01,A939RX0Q048SBEA,31213
1984-01-01,A939RX0Q048SBEA,31762
1984-04-01,A939RX0Q048SBEA,32246
1984-07-01,A939RX0Q048SBEA,32478
1984-10-01,A939RX0Q048SBEA,32665
1985-01-01,A939RX0Q048SBEA,32920
1985-04-01,A939RX0Q048SBEA,33140
1985-07-01,A939RX0Q048SBEA,33560
1985-10-01,A939RX0Q048SBEA,33725
1986-01-01,A939RX0Q048SBEA,33972
1986-04-01,A939RX0Q048SBEA,34053
1986-07-01,A939RX0Q048SBEA,34294
1986-10-01,A939RX0Q048SBEA,34396
1987-01-01,A939RX0Q048SBEA,34585
1987-04-01,A939RX0Q048SBEA,34885
1987-07-01,A939RX0Q048SBEA,35101
1987-10-01,A939RX0Q048SBEA,35615
1988-01-01,A939RX0Q048SBEA,35728
1988-04-01,A939RX0Q048SBEA,36122
1988-07-01,A939RX0Q048SBEA,36239
1988-10-01,A939RX0Q048SBEA,36631
1989-01-01,A939RX0Q048SBEA,36929
1989-04-01,A939RX0Q048SBEA,37127
1989-07-01,A939RX0Q048SBEA,37299
1989-10-01,A939RX0Q048SBEA,37271
1990-01-01,A939RX0Q048SBEA,37593
1990-04-01,A939RX0Q048SBEA,37612
1990-07-01,A939RX0Q048SBEA,37505
1990-10-01,A939RX0Q048SBEA,37032
1991-01-01,A939RX0Q048SBEA,36746
1991-04-01,A939RX0Q048SBEA,36914
1991-07-01,A939RX0Q048SBEA,36969
1991-10-01,A939RX0Q048SBEA,36971
1992-01-01,A939RX0Q048SBEA,37304
1992-04-01,A939RX0Q048SBEA,37583
1992-07-01,A939RX0Q048SBEA,37815
1992-10-01,A939RX0Q048SBEA,38077
1993-01-01,A939RX0Q048SBEA,38029
1993-04-01,A939RX0Q048SBEA,38135
1993-07-01,A939RX0Q048SBEA,38186
1993-10-01,A939RX0Q048SBEA,38582
1994-01-01,A939RX0Q048SBEA,38852
1994-04-01,A939RX0Q048SBEA,39263
1994-07-01,A939RX0Q048SBEA,39366
1994-10-01,A939RX0Q048SBEA,39695
1995-01-01,A939RX0Q048SBEA,39729
1995-04-01,A939RX0Q048SBEA,39735
1995-07-01,A939RX0Q048SBEA,39944
1995-10-01,A939RX0Q048SBEA,40092
1996-01-01,A939RX0Q048SBEA,40292
1996-04-01,A939RX0Q048SBEA,40848
1996-07-01,A939RX0Q048SBEA,41080
1996-10-01,A939RX0Q048SBEA,41375
1997-01-01,A939RX0Q048SBEA,41532
1997-04-01,A939RX0Q048SBEA,42102
1997-07-01,A939RX0Q048SBEA,42487
1997-10-01,A939RX0Q048SBEA,42719
1998-01-01,A939RX0Q048SBEA,43035
1998-04-01,A939RX0Q048SBEA,43315
1998-07-01,A939RX0Q048SBEA,43721
1998-10-01,A939RX0Q048SBEA,44293
1999-01-01,A939RX0Q048SBEA,44600
1999-04-01,A939RX0Q048SBEA,44820
1999-07-01,A939RX0Q048SBEA,45263
1999-10-01,A939RX0Q048SBEA,45894
2000-01-01,A939RX0Q048SBEA,45944
2000-04-01,A939RX0Q048SBEA,46669
2000-07-01,A939RX0Q048SBEA,46605
2000-10-01,A939RX0Q048SBEA,46771
2001-01-01,A939RX0Q048SBEA,46531
2001-04-01,A939RX0Q048SBEA,46693
2001-07-01,A939RX0Q048SBEA,46378
2001-10-01,A939RX0Q048SBEA,46386
2002-01-01,A939RX0Q048SBEA,46690
2002-04-01,A939RX0Q048SBEA,46868
2002-07-01,A939RX0Q048SBEA,46958
2002-10-01,A939RX0Q048SBEA,46916
2003-01-01,A939RX0Q048SBEA,47078
2003-04-01,A939RX0Q048SBEA,47378
2003-07-01,A939RX0Q048SBEA,48063
2003-10-01,A939RX0Q048SBEA,48499
2004-01-01,A939RX0Q048SBEA,48663
2004-04-01,A939RX0Q048SBEA,48927
2004-07-01,A939RX0Q048SBEA,49267
2004-10-01,A939RX0Q048SBEA,49637
2005-01-01,A939RX0Q048SBEA,50081
2005-04-01,A939RX0Q048SBEA,50204
2005-07-01,A939RX0Q048SBEA,50523
2005-10-01,A939RX0Q048SBEA,50715
2006-01-01,A939RX0Q048SBEA,51277
2006-04-01,A939RX0Q048SBEA,51281
2006-07-01,A939RX0Q048SBEA,51228
2006-10-01,A939RX0Q048SBEA,51532
2007-01-01,A939RX0Q048SBEA,51540
2007-04-01,A939RX0Q048SBEA,51719
2007-07-01,A939RX0Q048SBEA,51866
2007-10-01,A939RX0Q048SBEA,52049
2008-01-01,A939RX0Q048SBEA,51637
2008-04-01,A939RX0Q048SBEA,51790
2008-07-01,A939RX0Q048SBEA,51384
2008-10-01,A939RX0Q048SBEA,50154
2009-01-01,A939RX0Q048SBEA,49491
2009-04-01,A939RX0Q048SBEA,49318
2009-07-01,A939RX0Q048SBEA,49384
2009-10-01,A939RX0Q048SBEA,49811
2010-01-01,A939RX0Q048SBEA,49903
2010-04-01,A939RX0Q048SBEA,50272
2010-07-01,A939RX0Q048SBEA,50543
2010-10-01,A939RX0Q048SBEA,50696
2011-01-01,A939RX0Q048SBEA,50492
2011-04-01,A939RX0Q048SBEA,50769
2011-07-01,A939RX0Q048SBEA,50656
2011-10-01,A939RX0Q048SBEA,51145
2012-01-01,A939RX0Q048SBEA,51462
2012-04-01,A939RX0Q048SBEA,51600
2012-07-01,A939RX0Q048SBEA,51571
2012-10-01,A939RX0Q048SBEA,51531
2013-01-01,A939RX0Q048SBEA,51911
2013-04-01,A939RX0Q048SBEA,51895
2013-07-01,A939RX0Q048SBEA,52201
2013-10-01,A939RX0Q048SBEA,52514
2014-01-01,A939RX0Q048SBEA,52280
2014-04-01,A939RX0Q048SBEA,52899
2014-07-01,A939RX0Q048SBEA,53438
2014-10-01,A939RX0Q048SBEA,53631
2015-01-01,A939RX0Q048SBEA,53966
2015-04-01,A939RX0Q048SBEA,54277
2015-07-01,A939RX0Q048SBEA,54349
2015-10-01,A939RX0Q048SBEA,54260
2016-01-01,A939RX0Q048SBEA,54444
2016-04-01,A939RX0Q048SBEA,54612
2016-07-01,A939RX0Q048SBEA,54805
2016-10-01,A939RX0Q048SBEA,54981
2017-01-01,A939RX0Q048SBEA,55214
2017-04-01,A939RX0Q048SBEA,55431
2017-07-01,A939RX0Q048SBEA,55773
2017-10-01,A939RX0Q048SBEA,56166
2018-01-01,A939RX0Q048SBEA,56443
2018-04-01,A939RX0Q048SBEA,56851
2018-07-01,A939RX0Q048SBEA,57165
2018-10-01,A939RX0Q048SBEA,57226
2019-01-01,A939RX0Q048SBEA,57586
2019-04-01,A939RX0Q048SBEA,57794
